airline_code,alliance,alliance_tier
UA,Star Alliance,Full Member                                                                                                                                                     
LH,Star Alliance,Full Member                                                                                                                                                         
SQ,Star Alliance,Full Member                                                                                                                                                         
TG,Star Alliance,Full Member                                                                                                                                                         
AC,Star Alliance,Full Member                                                                                                                                                         
AA,OneWorld,Full Member                                                                                                                                                              
BA,OneWorld,Full Member                                                                                                                                                              
QF,OneWorld,Full Member                                                                                                                                                              
JL,OneWorld,Full Member
IB,OneWorld,Full Member                                                                                                                                                              
DL,SkyTeam,Full Member                                                                                                                                                               
AF,SkyTeam,Full Member                                                                                                                                                               
KL,SkyTeam,Full Member                                                                                                                                                               
KE,SkyTeam,Full Member                                                                                                                                                               
MU,SkyTeam,Full Member                                                                                                                                                               
FR,None,Low Cost                                                                                                                                                                     
EK,None,Independent                                                                                                                                                                  
QR,None,Independent
EY,None,Independent                                                                                                                                                                  
WN,None,Low Cost
